code,value_from,value_to,message,n
APPLIED_REGEX_RULE,Hippophae,Hippophaë,add diacritic,54
APPLIED_REGEX_RULE,Hippophae rhamnoides,Hippophaë rhamnoides,add diacritic,54
APPLIED_REGEX_RULE,Acer 'Norwegian Sunset',Acer hybr. 'Norwegian Sunset',add hybrid marker,10
APPLIED_REGEX_RULE,Acer freemanii 'Armstrong',Acer hybr. freemanii 'Armstrong',add hybrid marker,14
APPLIED_REGEX_RULE,Acer freemanii 'Autumn Blaze',Acer hybr. freemanii 'Autumn Blaze',add hybrid marker,166
APPLIED_REGEX_RULE,Aesculus carnea,Aesculus hybr. carnea,add hybrid marker,5018
APPLIED_REGEX_RULE,Aesculus carnea 'Briotii',Aesculus hybr. carnea 'Briotii',add hybrid marker,587
APPLIED_REGEX_RULE,Alnus spaethii,Alnus hybr. spaethii,add hybrid marker,1176
APPLIED_REGEX_RULE,Amelanchier lamarckii,Amelanchier hybr. lamarckii,add hybrid marker,230
APPLIED_REGEX_RULE,Amelanchier lamarckii 'Ballerina',Amelanchier hybr. lamarckii 'Ballerina',add hybrid marker,29
APPLIED_REGEX_RULE,Laburnum watereri 'Fastigiata',Laburnum hybr. watereri 'Fastigiata',add hybrid marker,2
APPLIED_REGEX_RULE,Magnolia 'Galaxy',Magnolia hybr. 'Galaxy' ,add hybrid marker,2
APPLIED_REGEX_RULE,Magnolia 'Susan',Magnolia hybr. 'Susan',add hybrid marker,1
APPLIED_REGEX_RULE,Magnolia soulangeana,Magnolia hybr. soulangeana,add hybrid marker,46
APPLIED_REGEX_RULE,Malus floribunda,Malus hybr. floribunda,add hybrid marker,481
APPLIED_REGEX_RULE,Malus floribunda 'Pendula',Malus hybr. floribunda 'Pendula',add hybrid marker,5
APPLIED_REGEX_RULE,Paulownia 'Shan Tong',Paulownia hybr. 'Shan Tong' ,add hybrid marker,4
APPLIED_REGEX_RULE,Platanus acerifolia,Platanus hybr. acerifolia,add hybrid marker,28680
APPLIED_REGEX_RULE,Platanus acerifolia 'Malburg',Platanus hybr. acerifolia 'Malburg',add hybrid marker,15
APPLIED_REGEX_RULE,Platanus acerifolia 'Pyramidalis',Platanus hybr. acerifolia 'Pyramidalis',add hybrid marker,255
APPLIED_REGEX_RULE,Platanus acerifolia 'Vallis Clausa',Platanus hybr. acerifolia 'Vallis Clausa',add hybrid marker,17
APPLIED_REGEX_RULE,Populus canadensis,Populus hybr. canadensis,add hybrid marker,782
APPLIED_REGEX_RULE,Populus canescens,Populus hybr. canescens,add hybrid marker,1683
APPLIED_REGEX_RULE,Populus gileadensis,Populus hybr. gileadensis,add hybrid marker,30
APPLIED_REGEX_RULE,Prunus hillieri 'Spire',Prunus hybr. hillieri 'Spire',add hybrid marker,69
APPLIED_REGEX_RULE,Prunus yedoensis,Prunus hybr. yedoensis,add hybrid marker,110
APPLIED_REGEX_RULE,Quercus turneri 'Pseudoturneri',Quercus hybr. turneri 'Pseudoturneri',add hybrid marker,23
