column;pattern;replacement;note;priority
art_bot;^Ginkgo\s+sp\.$;Ginkgo biloba;monotypic extant;70
art_bot;^Metasequoia\s+sp\.$;Metasequoia glyptostroboides;monotypic extant;70
art_bot;^Larix\s+leptolepis\b;Larix kaempferi;latin synonym -> accepted;60
art_bot;^Prunus\s+sachalinensis;Prunus sargentii;latin synonym;60
art_bot;^Acer\+cissifolia;Acer cissifolium;latin spelling fix;100
art_bot;^Acer\s+hycarnum;Acer hyrcanum;latin spelling fix;100
art_bot;^Almus\s+inceana\b;Alnus incana;latin spelling fix;100
art_bot;^Alnus\s+inokumea\b;Alnus inokumae;latin spelling fix;100
art_bot;^Amelachier\b;Amelanchier;latin spelling fix;100
art_bot;^Aronia\s+meloncarpia;Aronia melanocarpa;latin spelling fix;100
art_bot;^Celtis\s+sinesis;Celtis sinensis;latin spelling fix;100
art_bot;^Crytomeria\s+japonica\b;Cryptomeria japonica;latin spelling fix;60
art_bot;^Davidia\s+involucrate;Davidia involucrata;latin spelling fix;100
art_bot;^Davidia\s+involuncrata;Davidia involucrata;latin spelling fix;100
art_bot;^Eleagnus\s+angustifolia\b;Elaeagnus angustifolia;latin spelling fix;60
art_bot;^Forthergilla;Fothergilla;latin spelling fix;100
art_bot;^Hamamelis\s'Brevitala';Hamamelis 'Brevipetala';latin spelling fix;100
art_bot;^Hippophea;Hippophae;latin spelling fix;100
art_bot;^Macluara;Maclura;latin spelling fix;100
art_bot;^Malus\s+sieboldie;Malus sieboldii;latin spelling fix;100
art_bot;^Physocarbus;Physocarpus;latin spelling fix;100
art_bot;^Picea\s+punges;Picea pungens;latin spelling fix;100
art_bot;^Populus\s+simonii\s+'Fastgiata';Populus simonii 'Fastigiata';latin spelling fix;60
art_bot;^Prunus\s+ceracifera\b;Prunus cerasifera;latin spelling fix;100
art_bot;^Prunus\s+mackii\b;Prunus maackii;latin spelling fix;100
art_bot;^Pseudotsuga\s+menziezii;Pseudotsuga menziesii;latin spelling fix;100
art_bot;^Sambuscus;Sambucus;latin spelling fix;100
art_bot;^Tilia\s+plathyphyllos\b;Tilia platyphyllos;latin spelling fix;100
art_bot;^Zanthozylum;Zanthoxylum;latin spelling fix;100
art_bot;pensylvanica;pennsylvanica;latin spelling fix;100
art_bot;^Craetagus crus-galli var. Inermis;Crataegus crus-galli var. inermis;latin spelling fix;100
art_bot;^Ulmus\s+pumilla\s+arborea\b;Ulmus pumila var. arborea;latin rank word;60
art_bot;^Laburnocytisus;+Laburnocytisus;latin normalization;100
art_bot;^Aesculus\s+hippoc\.\s+;Aesculus hippocastanum ;latin expand abbrev.;90
